Group,Method,E(R),Std(R),DD,Sharpe,Sortino,MDD,Calmar,%+Ret,AvgP/AvgL
commodity,Long,-0.1575,0.3743,0.2613,-0.4208,-0.6027,2.1999,-0.0716,0.5020,0.9254
commodity,Sign(R),0.1090,0.2786,0.1860,0.3912,0.5860,0.5778,0.1886,0.5196,0.9857
commodity,MACD,-0.0451,0.1952,0.1278,-0.2309,-0.3526,0.8660,-0.0520,0.5011,0.9580
commodity,DQN,-0.3584,0.1528,0.1028,-2.3459,-3.4875,3.2160,-0.1114,0.4401,0.8627
commodity,PG,-2.0502,0.1752,0.1340,-11.7002,-15.3043,17.4637,-0.1174,0.2059,0.5591
commodity,A2C,-0.1919,0.2439,0.2043,-0.7869,-0.9394,1.7541,-0.1094,0.4839,0.9139
equity_index,Long,0.6373,1.1424,0.9186,0.5579,0.6938,2.2887,0.2785,0.5466,0.9135
equity_index,Sign(R),0.1273,0.9945,0.8074,0.1280,0.1576,2.8873,0.0441,0.5233,0.9323
equity_index,MACD,-0.2125,0.6138,0.4815,-0.3463,-0.4414,2.8233,-0.0753,0.5073,0.9117
equity_index,DQN,-0.6725,0.6703,0.5862,-1.0033,-1.1473,6.3068,-0.1066,0.3933,1.0130
equity_index,PG,-4.1564,0.3550,0.2758,-11.7077,-15.0694,36.3123,-0.1145,0.1621,0.6759
equity_index,A2C,0.0276,0.1726,0.1395,0.1601,0.1981,0.6174,0.0448,0.4995,1.0356
fixed_income,Long,0.7886,1.0181,0.6695,0.7746,1.1779,1.8150,0.4345,0.5326,0.9960
fixed_income,Sign(R),0.5356,0.8984,0.6390,0.5962,0.8383,1.4991,0.3573,0.5399,0.9443
fixed_income,MACD,0.2132,0.6215,0.4420,0.3430,0.4823,1.1325,0.1882,0.5088,1.0262
fixed_income,DQN,-0.3198,0.3429,0.4023,-0.9326,-0.7948,3.0232,-0.1058,0.1423,1.0451
fixed_income,PG,-15.9021,0.7177,0.6300,-22.1571,-25.2429,138.7857,-0.1146,0.0595,0.3577
fixed_income,A2C,-0.2007,0.1726,0.1083,-1.1631,-1.8533,1.9060,-0.1053,0.4595,0.9723
fx,Long,-0.0279,0.4858,0.3144,-0.0574,-0.0887,1.4905,-0.0187,0.5028,0.9794
fx,Sign(R),0.0258,0.5586,0.3913,0.0461,0.0658,1.5244,0.0169,0.5041,0.9917
fx,MACD,-0.0411,0.4013,0.2931,-0.1025,-0.1404,1.2772,-0.0322,0.4959,0.9979
fx,DQN,-0.6400,0.2915,0.2041,-2.1958,-3.1355,5.6366,-0.1135,0.4065,0.9455
fx,PG,-5.2597,0.3477,0.2623,-15.1291,-20.0496,46.1068,-0.1141,0.1154,0.6105
fx,A2C,-0.0706,0.2846,0.2141,-0.2482,-0.3299,1.2539,-0.0563,0.4885,0.9975
All,Long,0.1174,0.3901,0.2849,0.3010,0.4120,1.0677,0.1100,0.5322,0.9239
All,Sign(R),0.1252,0.3274,0.2449,0.3825,0.5114,0.7386,0.1696,0.5301,0.9464
All,MACD,-0.0637,0.2300,0.1672,-0.2768,-0.3807,0.9004,-0.0707,0.4966,0.9661
All,DQN,-0.4673,0.1862,0.1399,-2.5094,-3.3400,4.1326,-0.1131,0.4199,0.8610
All,PG,-4.3942,0.1697,0.1485,-25.8903,-29.5898,38.5234,-0.1141,0.0398,0.3939
All,A2C,-0.1276,0.1657,0.1287,-0.7702,-0.9922,1.2772,-0.0999,0.4869,0.9184
