Group,Method,E(R),Std(R),DD,Sharpe,Sortino,MDD,Calmar,%+Ret,AvgP/AvgL
commodity,Long,-0.5184,1.0000,0.6996,-0.5184,-0.7410,6.6565,-0.0779,0.4980,0.9252
commodity,Sign(R),-0.1386,1.0000,0.6716,-0.1386,-0.2064,3.0065,-0.0461,0.5051,0.9578
commodity,MACD,-0.7648,1.0000,0.6600,-0.7648,-1.1589,7.7572,-0.0986,0.4843,0.9371
commodity,DQN,-2.3459,1.0000,0.6727,-2.3459,-3.4875,21.0514,-0.1114,0.4401,0.8627
commodity,PG,-7.2648,1.0000,0.7424,-7.2648,-9.7856,62.1088,-0.1170,0.2934,0.6992
commodity,A2C,-0.7869,1.0000,0.8377,-0.7869,-0.9394,7.1925,-0.1094,0.4839,0.9139
equity_index,Long,0.4866,1.0000,0.8047,0.4866,0.6048,2.0822,0.2337,0.5444,0.9103
equity_index,Sign(R),-0.1166,1.0000,0.8079,-0.1166,-0.1443,3.7766,-0.0309,0.5129,0.9299
equity_index,MACD,-0.6902,1.0000,0.7807,-0.6902,-0.8841,7.6744,-0.0899,0.4875,0.9269
equity_index,DQN,-1.0033,1.0000,0.8745,-1.0033,-1.1473,9.4089,-0.1066,0.3933,1.0130
equity_index,PG,-8.2485,1.0000,0.8687,-8.2485,-9.4956,72.0740,-0.1144,0.1916,0.7410
equity_index,A2C,0.1601,1.0000,0.8082,0.1601,0.1981,3.5771,0.0448,0.4995,1.0356
fixed_income,Long,0.5035,1.0000,0.6611,0.5035,0.7616,1.9039,0.2644,0.5231,0.9899
fixed_income,Sign(R),-0.1528,1.0000,0.7106,-0.1528,-0.2150,4.1282,-0.0370,0.5136,0.9226
fixed_income,MACD,-0.8287,1.0000,0.6965,-0.8287,-1.1898,10.2306,-0.0810,0.4498,1.0567
fixed_income,DQN,-0.9326,1.0000,1.1734,-0.9326,-0.7948,8.8166,-0.1058,0.1423,1.0451
fixed_income,PG,-3.7864,1.0000,1.8509,-3.7864,-2.0457,33.0556,-0.1145,0.0086,0.5749
fixed_income,A2C,-1.1631,1.0000,0.6276,-1.1631,-1.8533,11.0460,-0.1053,0.4595,0.9723
fx,Long,-0.2553,1.0000,0.6484,-0.2553,-0.3938,3.9255,-0.0650,0.4989,0.9620
fx,Sign(R),-0.6610,1.0000,0.6986,-0.6610,-0.9462,7.0632,-0.0936,0.4783,0.9731
fx,MACD,-0.8025,1.0000,0.7251,-0.8025,-1.1067,7.8662,-0.1020,0.4706,0.9738
fx,DQN,-2.1958,1.0000,0.7003,-2.1958,-3.1355,19.3390,-0.1135,0.4065,0.9455
fx,PG,-5.2887,1.0000,1.1918,-5.2887,-4.4377,46.3061,-0.1142,0.0593,0.9696
fx,A2C,-0.2482,1.0000,0.7523,-0.2482,-0.3299,4.4065,-0.0563,0.4885,0.9975
All,Long,0.0972,1.0000,0.7317,0.0972,0.1328,3.0996,0.0314,0.5262,0.9150
All,Sign(R),-0.4290,1.0000,0.7473,-0.4290,-0.5741,4.5777,-0.0937,0.5095,0.8949
All,MACD,-1.2243,1.0000,0.7271,-1.2243,-1.6838,12.4659,-0.0982,0.4747,0.8941
All,DQN,-2.5094,1.0000,0.7513,-2.5094,-3.3400,22.1900,-0.1131,0.4199,0.8610
All,PG,-10.6780,1.0000,0.7917,-10.6780,-13.4872,93.6357,-0.1140,0.2131,0.5760
All,A2C,-0.7702,1.0000,0.7763,-0.7702,-0.9922,7.7069,-0.0999,0.4869,0.9184
